neighbourhood,vibe_score,review_count,walkability_score,safety_score,nightlife_score,quietness_score,family_friendly_score,local_authentic_score,convenience_score,food_scene_score,liveliness_score,charm_score
Woodside,60.4,520,5.223880597014925,6.596858638743456,3.8461538461538463,2.766990291262136,6.505376344086021,2.9012345679012346,8.894230769230768,5.327102803738317,2.230769230769231,1.116751269035533
Kensington,60.0,239,7.562189054726368,5.602094240837696,7.810650887573964,7.718446601941747,6.182795698924731,3.0864197530864197,7.5,7.196261682242991,0.46153846153846156,6.040609137055838
Jackson Heights,57.0,520,4.278606965174129,6.9109947643979055,4.260355029585799,3.6407766990291264,3.118279569892473,5.555555555555555,6.826923076923077,4.906542056074766,4.307692307692308,2.8934010152284264
Hell's Kitchen,57.0,3302,8.45771144278607,4.18848167539267,5.502958579881657,1.3592233009708736,2.150537634408602,9.012345679012345,5.240384615384616,7.102803738317757,5.3076923076923075,1.5228426395939088
Flatlands,56.4,300,3.1840796019900495,2.4083769633507854,1.4201183431952664,5.679611650485437,6.559139784946236,0.12345679012345678,2.1634615384615383,4.018691588785047,2.5384615384615383,3.7055837563451774
Harlem,55.8,5949,4.378109452736318,5.497382198952879,6.449704142011834,3.058252427184466,4.623655913978494,7.098765432098766,8.413461538461538,4.158878504672897,6.846153846153847,6.243654822335025
Laurelton,55.6,147,0.945273631840796,3.769633507853403,0.05917159763313609,6.7961165048543695,4.193548387096774,0.6790123456790123,0.9134615384615384,4.205607476635514,4.230769230769231,3.553299492385787
Battery Park City,54.6,179,4.925373134328358,0.2617801047120419,6.331360946745562,1.941747572815534,1.6666666666666665,1.8518518518518516,4.855769230769231,7.5233644859813085,5.615384615384615,3.350253807106599
Long Island City,54.3,1178,4.82587064676617,6.963350785340314,6.153846153846154,2.815533980582524,1.3440860215053763,5.432098765432098,9.326923076923077,4.626168224299065,3.384615384615385,3.096446700507614
Inwood,54.1,293,3.432835820895522,7.591623036649215,5.266272189349113,5.339805825242719,4.354838709677419,3.2098765432098766,7.3076923076923075,3.831775700934579,6.615384615384615,3.4517766497461926
Coney Island,54.0,89,9.800995024875622,3.089005235602094,2.1301775147928996,1.4563106796116503,2.6344086021505375,6.111111111111112,9.086538461538462,6.16822429906542,9.615384615384615,0.20304568527918782
Gravesend,53.8,195,1.4925373134328357,4.0837696335078535,1.301775147928994,3.446601941747573,4.731182795698925,1.6975308641975309,8.846153846153847,1.9626168224299065,1.8461538461538463,1.9796954314720814
Tribeca,53.6,219,4.527363184079602,0.9947643979057591,5.325443786982249,1.8932038834951457,0.6989247311827956,3.0246913580246915,4.423076923076923,6.02803738317757,8.692307692307693,4.162436548223351
Chelsea,53.5,2584,6.965174129353234,3.9790575916230364,5.443786982248521,3.8349514563106797,1.720430107526882,7.530864197530864,5.4326923076923075,6.869158878504673,4.384615384615385,2.6395939086294415
Maspeth,51.9,338,2.935323383084577,8.481675392670157,4.0828402366863905,6.941747572815534,7.849462365591398,4.197530864197531,2.5,6.401869158878505,0.8461538461538463,2.0812182741116754
Longwood,51.4,160,3.0348258706467663,8.69109947643979,2.3668639053254434,1.6019417475728157,5.860215053763441,5.061728395061729,5.288461538461538,5.747663551401869,2.846153846153846,2.487309644670051
Elmhurst,50.6,541,3.1343283582089554,6.858638743455497,5.680473372781066,5.631067961165048,2.849462365591398,5.925925925925926,8.173076923076923,3.644859813084112,6.3076923076923075,1.6243654822335025
Corona,50.5,237,4.776119402985074,7.015706806282722,3.076923076923077,3.592233009708738,5.10752688172043,7.34567901234568,3.894230769230769,0.8878504672897196,6.384615384615384,0.5583756345177665
Bath Beach,48.8,116,3.6318407960199006,1.256544502617801,4.201183431952662,9.223300970873787,8.225806451612904,0.6790123456790123,1.0096153846153846,1.4018691588785046,3.1538461538461537,6.5482233502538065
Mott Haven,48.4,156,4.676616915422885,7.74869109947644,2.42603550295858,1.2135922330097086,3.763440860215054,5.185185185185185,5.913461538461538,4.252336448598131,6.153846153846154,2.284263959390863
Washington Heights,47.8,1104,2.4875621890547266,6.335078534031413,4.970414201183432,2.3786407766990294,3.817204301075269,6.666666666666666,7.211538461538462,3.2710280373831773,8.384615384615385,3.9593908629441628
East Elmhurst,47.5,1351,4.17910447761194,4.293193717277487,4.556213017751479,4.514563106796117,4.677419354838709,2.716049382716049,4.519230769230769,2.616822429906542,2.9230769230769234,2.5888324873096447
Flatiron District,47.2,396,4.477611940298508,0.6282722513089005,5.088757396449704,0.6310679611650485,2.7419354838709675,2.7777777777777777,2.980769230769231,8.177570093457945,4.6923076923076925,2.233502538071066
Tompkinsville,47.1,156,5.024875621890548,4.450261780104713,5.621301775147929,8.009708737864077,2.311827956989247,1.2345679012345678,2.884615384615384,3.4579439252336446,1.0,8.071065989847716
Chinatown,46.8,1098,6.915422885572139,3.2460732984293195,6.686390532544379,0.8737864077669903,1.774193548387097,5.3086419753086425,7.6923076923076925,5.981308411214953,8.538461538461538,1.3705583756345177
Kingsbridge,45.9,95,5.074626865671642,8.900523560209425,3.4911242603550297,3.6893203883495147,5.752688172043011,1.9753086419753085,9.615384615384615,2.149532710280374,9.692307692307692,4.568527918781726
Howard Beach,45.7,112,1.691542288557214,7.958115183246073,3.1952662721893494,8.300970873786408,6.075268817204301,0.6790123456790123,4.038461538461538,6.822429906542055,3.5384615384615388,7.461928934010152
East Harlem,44.7,2027,4.3283582089552235,4.9214659685863875,4.85207100591716,1.5048543689320386,3.387096774193548,7.469135802469136,6.875,4.11214953271028,6.461538461538462,2.9441624365482233
Jamaica,43.9,1405,1.2437810945273633,1.9895287958115182,3.136094674556213,3.5436893203883497,3.225806451612903,2.962962962962963,3.0288461538461537,2.4766355140186915,1.2307692307692308,1.5736040609137056
Queens Village,42.7,376,1.044776119402985,4.869109947643979,4.319526627218934,5.4368932038834945,6.827956989247311,2.1604938271604937,1.153846153846154,1.308411214953271,3.6923076923076925,4.9238578680203045
Cypress Hills,42.2,595,2.63681592039801,5.445026178010472,3.5502958579881656,1.262135922330097,4.247311827956989,2.0987654320987654,3.990384615384616,3.317757009345794,1.4615384615384617,2.99492385786802
City Island,42.1,72,9.552238805970148,5.340314136125654,6.213017751479289,6.893203883495146,7.688172043010752,3.2716049382716053,3.269230769230769,7.710280373831776,2.769230769230769,9.796954314720812
East New York,41.7,1182,2.587064676616915,2.9319371727748686,2.1893491124260356,1.116504854368932,2.4731182795698925,4.012345679012346,4.375,2.8971962616822426,1.5384615384615385,5.380710659898477
St. Albans,41.6,545,1.4427860696517414,2.25130890052356,2.0710059171597632,6.5048543689320395,4.569892473118279,2.2222222222222223,1.346153846153846,1.1214953271028036,1.7692307692307694,3.248730964467005
Midtown,41.4,3808,7.363184079601989,1.93717277486911,3.609467455621302,0.825242718446602,3.655913978494624,6.419753086419753,3.942307692307692,6.121495327102804,3.923076923076923,0.9644670050761421
Briarwood,36.5,115,4.577114427860697,7.225130890052355,2.9585798816568047,5.097087378640777,6.236559139784946,1.91358024691358,5.721153846153846,2.6635514018691584,4.923076923076923,1.4213197969543148
Bergen Beach,36.1,81,2.9850746268656714,0.7329842931937172,3.3727810650887573,8.349514563106796,7.311827956989248,8.209876543209877,1.0576923076923077,7.009345794392523,2.3846153846153846,6.395939086294416
Ozone Park,35.7,202,4.726368159203981,4.659685863874346,1.242603550295858,7.184466019417476,1.6129032258064515,1.3580246913580245,5.528846153846154,1.2149532710280373,0.9230769230769231,0.8121827411167513
Springfield Gardens,33.4,548,1.1442786069651742,0.680628272251309,3.2544378698224854,6.019417475728154,9.086021505376344,1.6049382716049383,5.144230769230768,2.102803738317757,3.4615384615384617,2.5380710659898478
Brownsville,29.1,377,3.482587064676617,2.1465968586387434,2.7218934911242605,1.7475728155339807,3.494623655913979,3.1481481481481484,3.365384615384616,1.4485981308411213,1.6923076923076925,3.6548223350253806
Theater District,27.6,934,7.014925373134329,0.418848167539267,2.603550295857988,0.9223300970873787,0.860215053763441,4.135802469135802,4.230769230769231,4.392523364485982,3.769230769230769,0.9137055837563451
South Ozone Park,26.8,403,0.9950248756218906,1.8848167539267016,3.9644970414201186,5.533980582524272,2.043010752688172,1.7901234567901234,3.509615384615384,0.794392523364486,2.307692307692308,1.218274111675127
Kew Gardens,26.7,50,7.114427860696518,9.162303664921467,3.727810650887574,9.320388349514563,0.16129032258064516,8.580246913580247,6.153846153846154,2.05607476635514,9.769230769230768,7.106598984771574
Two Bridges,26.6,60,3.5820895522388057,5.81151832460733,9.349112426035504,3.106796116504854,1.827956989247312,9.753086419753087,0.7692307692307693,4.813084112149532,0.15384615384615385,5.532994923857868
Great Kills,26.2,36,2.4378109452736316,8.848167539267015,0.650887573964497,9.514563106796118,8.817204301075268,3.82716049382716,1.8269230769230769,3.177570093457944,4.846153846153846,9.847715736040609
Clason Point,22.0,97,0.1990049751243781,6.230366492146597,4.497041420118343,5.194174757281553,6.021505376344086,7.222222222222222,0.673076923076923,1.7757009345794392,2.0,6.649746192893401
Fordham,19.3,54,5.522388059701493,7.643979057591624,6.035502958579881,2.8640776699029127,0.4301075268817205,7.623456790123457,6.346153846153846,0.7476635514018691,8.846153846153847,2.182741116751269
Morris Heights,18.5,27,9.104477611940299,6.492146596858639,8.579881656804734,8.54368932038835,0.4301075268817205,10.0,8.076923076923077,0.32710280373831774,8.76923076923077,0.3553299492385787
Mount Hope,12.1,94,2.08955223880597,0.9424083769633508,2.485207100591716,6.213592233009708,1.4516129032258065,1.419753086419753,1.442307692307692,3.878504672897196,4.538461538461538,0.6598984771573604
Soundview,10.9,31,3.383084577114428,5.18324607329843,1.4792899408284024,4.174757281553398,3.172043010752688,8.333333333333334,1.2980769230769231,1.7289719626168223,9.0,1.7766497461928934
Allerton,,194,3.781094527363184,7.329842931937173,0.1775147928994083,1.553398058252427,8.118279569892472,8.148148148148147,5.048076923076923,4.485981308411215,,3.604060913705584
Arden Heights,,9,,,,0.5339805825242718,,,,9.813084112149532,,
Arrochar,,61,5.4726368159203975,8.952879581151832,1.7751479289940828,8.980582524271846,7.258064516129032,,2.8365384615384617,6.261682242990654,,1.4720812182741116
Bay Terrace,,22,7.462686567164179,9.05759162303665,7.6923076923076925,3.2524271844660197,7.150537634408602,,6.4423076923076925,9.766355140186917,,0.15228426395939088
Baychester,,54,4.6268656716417915,5.392670157068062,0.650887573964497,8.737864077669903,0.4301075268817205,6.358024691358025,1.5384615384615385,6.588785046728972,,2.1319796954314723
Bayswater,,39,0.09950248756218905,5.968586387434555,,8.20388349514563,9.78494623655914,,5.865384615384616,1.822429906542056,,9.746192893401016
Belle Harbor,,26,9.502487562189055,2.6178010471204187,,9.466019417475728,,2.2839506172839505,5.480769230769232,6.308411214953271,,6.903553299492385
Bellerose,,47,0.4228855721393035,1.5183246073298429,8.402366863905325,7.621359223300971,6.612903225806451,7.623456790123457,1.3942307692307692,6.728971962616822,,0.10152284263959391
Belmont,,35,9.701492537313433,6.43979057591623,,0.09708737864077668,3.064516129032258,9.25925925925926,1.9230769230769231,1.6355140186915886,,1.9289340101522843
Breezy Point,,12,1.7910447761194028,7.853403141361257,9.940828402366863,9.563106796116505,4.946236559139785,9.876543209876543,2.7884615384615383,1.3551401869158877,,5.634517766497462
Brighton Beach,,113,8.258706467661693,7.43455497382199,1.6568047337278107,4.70873786407767,2.4193548387096775,6.851851851851852,6.586538461538462,4.579439252336448,,2.030456852791878
Bronxdale,,58,4.029850746268656,9.528795811518325,5.976331360946746,0.7281553398058251,7.795698924731182,0.6790123456790123,6.105769230769232,5.420560747663551,,1.0659898477157361
Bull's Head,,34,1.3930348258706469,8.743455497382199,5.8579881656804735,7.233009708737864,8.709677419354838,,2.740384615384616,2.523364485981308,,9.593908629441625
Cambria Heights,,159,4.4278606965174125,3.0366492146596857,1.3609467455621302,7.427184466019417,3.870967741935484,0.6790123456790123,2.4038461538461537,1.6822429906542056,,4.314720812182741
Castle Hill,,28,,7.120418848167539,8.04733727810651,,7.39247311827957,,0.5288461538461539,2.4299065420560746,6.923076923076923,7.817258883248731
Castleton Corners,,16,3.7313432835820897,,0.650887573964497,2.6213592233009706,9.838709677419356,,2.2115384615384617,9.859813084112151,,9.695431472081218
"Chelsea, Staten Island",,1,,,,,,,,,,
Civic Center,,33,6.019900497512438,0.5235602094240838,0.650887573964497,1.650485436893204,,2.4691358024691357,1.875,3.5981308411214954,9.538461538461538,1.16751269035533
Claremont Village,,96,2.0398009950248754,0.31413612565445026,2.8994082840236683,2.3300970873786406,1.129032258064516,6.728395061728395,0.721153846153846,0.9813084112149533,,1.2690355329949239
Clifton,,91,0.6467661691542288,1.6230366492146597,0.650887573964497,7.864077669902913,8.172043010752688,0.6790123456790123,1.7307692307692308,2.0093457943925235,,5.583756345177665
Co-op City,,8,,9.267015706806284,,9.70873786407767,,,2.019230769230769,0.37383177570093457,,9.238578680203046
College Point,,148,2.238805970149254,3.717277486910995,8.106508875739646,7.135922330097087,5.53763440860215,,3.4134615384615383,2.2429906542056073,0.5384615384615385,2.7918781725888326
Concord,,25,1.2935323383084576,9.476439790575915,0.650887573964497,2.0145631067961163,4.516129032258064,,3.173076923076923,5.841121495327103,,7.9187817258883255
Concourse Village,,90,3.0845771144278604,6.125654450261781,2.6627218934911245,0.970873786407767,8.440860215053764,0.6790123456790123,8.317307692307693,5.887850467289719,,2.436548223350254
Country Club,,3,,,,9.902912621359224,,,,0.2570093457943925,,
Douglaston,,22,9.154228855721394,9.68586387434555,,5.776699029126213,9.623655913978496,8.641975308641975,4.471153846153847,3.7383177570093458,9.923076923076923,8.47715736040609
Dyker Heights,,21,0.14925373134328357,2.513089005235602,0.650887573964497,1.3106796116504853,9.408602150537636,,6.923076923076923,0.14018691588785046,,0.45685279187817257
East Morrisania,,21,0.24875621890547264,0.05235602094240838,,0.04854368932038834,7.39247311827957,4.660493827160494,8.028846153846153,6.074766355140186,,
Eastchester,,23,1.5920398009950247,2.774869109947644,,7.766990291262136,8.279569892473118,,1.2019230769230769,0.8411214953271028,,6.751269035532995
Edenwald,,57,0.4228855721393035,4.7643979057591626,8.461538461538462,6.16504854368932,2.5806451612903225,1.2962962962962963,1.682692307692308,5.280373831775701,,0.6091370558375635
Edgemere,,34,9.751243781094526,1.8324607329842932,,0.38834951456310673,6.397849462365591,,5.0,8.97196261682243,,6.852791878172589
Eltingville,,12,0.7960199004975124,9.842931937172775,7.396449704142012,7.330097087378641,0.05376344086021506,4.506172839506172,7.740384615384616,1.9158878504672896,,
Emerson Hill,,6,,,,,,,0.16826923076923075,0.2570093457943925,,
Far Rockaway,,63,7.263681592039801,0.15706806282722513,0.650887573964497,5.87378640776699,8.010752688172042,2.5925925925925926,4.8076923076923075,4.5327102803738315,,7.7664974619289335
Fieldston,,19,8.407960199004975,9.633507853403142,6.568047337278107,7.475728155339806,1.935483870967742,7.777777777777778,2.2596153846153846,8.878504672897197,,7.868020304568528
Fresh Meadows,,62,1.5422885572139302,9.214659685863873,1.834319526627219,8.883495145631068,7.526881720430108,0.6790123456790123,0.8653846153846154,5.233644859813084,,7.258883248730964
Gerritsen Beach,,19,8.109452736318408,8.534031413612565,,8.640776699029125,8.924731182795698,,,5.0,,5.98984771573604
Glendale,,116,8.756218905472636,3.9267015706806285,0.650887573964497,8.106796116504855,2.903225806451613,0.6790123456790123,2.355769230769231,6.4485981308411215,,5.228426395939087
Graniteville,,10,8.83084577114428,,,0.24271844660194175,,,9.951923076923077,3.4112149532710276,,4.01015228426396
Grant City,,10,0.4228855721393035,9.581151832460733,,9.854368932038835,9.56989247311828,,7.980769230769232,9.065420560747663,,
Grymes Hill,,34,2.835820895522388,3.5602094240837694,0.650887573964497,0.3398058252427184,8.548387096774194,,2.1153846153846154,3.97196261682243,5.153846153846153,5.0761421319796955
Highbridge,,26,1.0945273631840795,,,8.446601941747572,,,0.3365384615384615,9.626168224299064,7.9230769230769225,
Hollis,,60,5.5721393034825875,5.654450261780105,6.8639053254437865,6.359223300970874,9.354838709677418,,0.576923076923077,6.355140186915888,7.230769230769231,3.7563451776649748
Holliswood,,2,9.950248756218906,,,10.0,,,5.1923076923076925,9.532710280373832,,
Howland Hook,,6,8.83084577114428,,,9.41747572815534,,,0.16826923076923075,2.9906542056074765,,4.111675126903553
